	category	context	id	location	location_subtype	location_type	month	outcome_status	persistent_id
57	anti-social-behaviour		66577503	{'latitude': '52.639335', 'street': {'id': 883362, 'name': 'On or near Gravel Street'}, 'longitude': '-1.133940'}		Force	2018-07		
58	anti-social-behaviour		66577508	{'latitude': '52.636033', 'street': {'id': 883368, 'name': 'On or near Freeschool Lane'}, 'longitude': '-1.138424'}		Force	2018-07		
59	anti-social-behaviour		66577808	{'latitude': '52.637465', 'street': {'id': 883431, 'name': 'On or near Great Central Street'}, 'longitude': '-1.141233'}		Force	2018-07		
60	anti-social-behaviour		66577811	{'latitude': '52.633414', 'street': {'id': 876793, 'name': 'On or near Bishop Street'}, 'longitude': '-1.131841'}		Force	2018-07		
61	anti-social-behaviour		66577816	{'latitude': '52.629293', 'street': {'id': 1319949, 'name': 'On or near Bede Park'}, 'longitude': '-1.144983'}		Force	2018-07		
62	anti-social-behaviour		66581427	{'latitude': '52.632073', 'street': {'id': 883364, 'name': 'On or near Granby Street'}, 'longitude': '-1.126829'}		Force	2018-07		
63	anti-social-behaviour		66573638	{'latitude': '52.621591', 'street': {'id': 882481, 'name': 'On or near Cedars Court'}, 'longitude': '-1.113536'}		Force	2018-07		
64	anti-social-behaviour		66581267	{'latitude': '52.631940', 'street': {'id': 883105, 'name': 'On or near Park Vale Road'}, 'longitude': '-1.108864'}		Force	2018-07		
65	anti-social-behaviour		66580998	{'latitude': '52.631689', 'street': {'id': 883222, 'name': 'On or near Guthlaxton Street'}, 'longitude': '-1.117484'}		Force	2018-07		
66	anti-social-behaviour		66574002	{'latitude': '52.637069', 'street': {'id': 883413, 'name': 'On or near Supermarket'}, 'longitude': '-1.131414'}		Force	2018-07		
67	anti-social-behaviour		66574005	{'latitude': '52.633414', 'street': {'id': 876793, 'name': 'On or near Bishop Street'}, 'longitude': '-1.131841'}		Force	2018-07		
68	anti-social-behaviour		66580996	{'latitude': '52.631051', 'street': {'id': 883209, 'name': 'On or near Stoughton Street South'}, 'longitude': '-1.117452'}		Force	2018-07		
69	anti-social-behaviour		66574281	{'latitude': '52.632246', 'street': {'id': 883311, 'name': 'On or near York Street'}, 'longitude': '-1.129529'}		Force	2018-07		
70	anti-social-behaviour		66580993	{'latitude': '52.623521', 'street': {'id': 882292, 'name': 'On or near Eastleigh Road'}, 'longitude': '-1.151167'}		Force	2018-07		
71	anti-social-behaviour		66580992	{'latitude': '52.630420', 'street': {'id': 883390, 'name': 'On or near Ashwell Street'}, 'longitude': '-1.126995'}		Force	2018-07		
72	anti-social-behaviour		66580991	{'latitude': '52.636256', 'street': {'id': 883316, 'name': 'On or near Wimbledon Street'}, 'longitude': '-1.125933'}		Force	2018-07		
73	anti-social-behaviour		66580990	{'latitude': '52.635414', 'street': {'id': 883313, 'name': 'On or near Yeoman Street'}, 'longitude': '-1.128742'}		Force	2018-07		
